,Year,Month,State,Location,Food,Species,Illnesses,Hospitalizations,Fatalities
9388,2005,May,California,,"Taco, Unspecified",Salmonella enterica,5,0.0,0.0
9390,2005,May,California,Restaurant,"Oysters, Raw",Vibrio unknown,2,1.0,0.0
9391,2005,May,California,Restaurant,"Steak, Prime Rib",Clostridium perfringens,3,0.0,0.0
9392,2005,May,California,Restaurant; Private Home/Residence,"Beef, Smoked",Clostridium perfringens,40,1.0,0.0
9393,2005,May,California,Restaurant; Private Home/Residence,"Lettuce, Unspecified",Norovirus genogroup I,19,5.0,0.0
9405,2005,May,Georgia,Private Home/Residence,"Beef, Stew",Salmonella enterica,3,0.0,0.0
9411,2005,May,Illinois,Restaurant,"Gravy, Unspecified",Norovirus genogroup I,20,0.0,0.0
9419,2005,May,Iowa,Religious Facility,"Whole Milk, Unpasteurized",Campylobacter jejuni,33,0.0,0.0
9421,2005,May,Kansas,,"Whole Milk, Unpasteurized",Campylobacter jejuni,4,0.0,0.0
9423,2005,May,Louisiana,Unknown,"Salad, Unspecified",Norovirus genogroup I,65,0.0,0.0
9424,2005,May,Maryland,Restaurant,Caesar Salad,Campylobacter jejuni,4,0.0,0.0
9425,2005,May,Massachusetts,Restaurant,"Beef, Other",Clostridium perfringens,9,1.0,0.0
9427,2005,May,Michigan,Restaurant,"Sandwich, Deli",Norovirus genogroup I,124,0.0,0.0
9432,2005,May,Michigan,Private Home/Residence,"Macaroni Salad; Roast Beef, Unspecified",Norovirus genogroup I,55,0.0,0.0
9435,2005,May,Minnesota,Office/Indoor Workplace,"Fish, Mahi Mahi",Scombroid toxin,2,0.0,0.0
9436,2005,May,Minnesota,Private Home/Residence,"Ground Beef, Hamburger; Sausage, Bratwurst; Bread, Unspecified",Norovirus genogroup I,8,0.0,0.0
9438,2005,May,Minnesota,Restaurant,"Taco, Unspecified; Rice, Spanish; Refried Beans, Unspecified",Bacterium,7,0.0,0.0
9440,2005,May,Minnesota,Banquet Facility,"Chicken, Unspecified; Pineapple, Unspecified",Norovirus genogroup I,125,0.0,0.0
9442,2005,May,Multistate,Restaurant,"Ice Cream, Commercial",Salmonella enterica,26,11.0,0.0
9443,2005,May,Multistate,,Other Food,Salmonella enterica,7,2.0,0.0
9445,2005,May,New York,Restaurant,Caesar Salad,Norovirus genogroup I,18,0.0,0.0
9446,2005,May,New York,Restaurant; Private Home/Residence,Potato Salad,Salmonella enterica; Clostridium perfringens; Salmonella enterica,35,0.0,0.0
9448,2005,May,New York,Private Home/Residence,"Fish, Baracuda",Ciguatoxin,4,1.0,0.0
9452,2005,May,North Dakota,School/College/University,"Lettuce, Unspecified; Ranch Dressing",Norovirus genogroup I,52,0.0,0.0
9463,2005,May,Oklahoma,Catering Service,"Fajita, Chicken; Fajita, Beef; Onions; Peppers, Unspecified",Campylobacter jejuni,28,1.0,0.0
9466,2005,May,Pennsylvania,Restaurant; Catering Service; Grocery Store,"Sandwich, Beef",Clostridium perfringens,25,0.0,0.0
9467,2005,May,South Carolina,Restaurant,"Turkey, Baked",Salmonella enterica,304,56.0,1.0
9468,2005,May,South Carolina,,"Pork, Bbq; Ribs, Pork",Staphylococcus aureus; Bacillus cereus,32,6.0,0.0
9472,2005,May,Tennessee,Private Home/Residence,Multiple Foods,Norovirus genogroup I,18,0.0,0.0
9476,2005,May,Utah,Private Home/Residence,"Cantaloupe; Chicken, Bbq; Corned Beef, Unspecified",Salmonella enterica,126,15.0,0.0
9478,2005,May,Washington,Restaurant,"Fried Rice, Unspecified",Bacillus cereus,5,0.0,0.0
9479,2005,May,Washington,Restaurant,"Salsa, Unspecified","Escherichia coli, Shiga toxin-producing",3,1.0,0.0
9482,2005,June,Alaska,Private Home/Residence,"Homemade Sausage, Other",Trichinella spiralis,3,1.0,0.0
9483,2005,June,Alaska,,"Peas, Green",Campylobacter jejuni,19,0.0,0.0
9484,2005,June,California,Restaurant,"Ice Cream, Unspecified",Clostridium perfringens,23,0.0,0.0
9485,2005,June,California,Restaurant,"Sushi, Unspecified",Norovirus genogroup I,10,0.0,0.0
9489,2005,June,California,Restaurant,Oysters,Bacterium,3,0.0,0.0
9490,2005,June,California,,"Burrito, Beef",Bacterium,13,0.0,0.0
9491,2005,June,California,Prison/Jail,"Spread/Filling, Other",Salmonella enterica; Salmonella enterica; Salmonella enterica,157,1.0,0.0
9492,2005,June,California,Restaurant,Multiple Foods,Bacterium,17,0.0,0.0
9494,2005,June,California,Restaurant,"Chicken, Other",Bacillus cereus; Clostridium perfringens,6,0.0,0.0
9495,2005,June,California,Restaurant,Sausage; Mixed Fruit,Norovirus unknown,35,0.0,0.0
9496,2005,June,Colorado,Restaurant,"Vegetable Dip, Unspecified",Campylobacter unknown,2,0.0,0.0
9497,2005,June,Colorado,Restaurant,"Noodles, Unspecified; Quail, Unspecified",Campylobacter jejuni; Bacillus cereus,8,0.0,0.0
9498,2005,June,Colorado,Grocery Store,"Potato Salad; Beans, Baked",Campylobacter jejuni,14,0.0,0.0
9499,2005,June,Connecticut,Restaurant,Bruschetta; House Salad,Cyclospora cayatenensis,30,1.0,0.0
9505,2005,June,Georgia,Office/Indoor Workplace; Hospital,"Gravy, Beef; Roast Beef, Other",Clostridium perfringens,10,0.0,0.0
9506,2005,June,Georgia,Catering Service,"Stuffing/Dressing; Gravy, Chicken; Chicken, Other",Salmonella enterica,61,7.0,0.0
9507,2005,June,Georgia,Restaurant,Coleslaw,Norovirus genogroup I,80,0.0,0.0
9508,2005,June,Hawaii,Restaurant,"Fish, Mahi Mahi",Scombroid toxin,6,0.0,0.0
9511,2005,June,Hawaii,Private Home/Residence,"Fish, Amberjack",Ciguatoxin,2,0.0,0.0
9513,2005,June,Hawaii,Private Home/Residence,"Fish, Baracuda",Ciguatoxin,3,0.0,0.0
9515,2005,June,Illinois,Restaurant,"Fish, Grouper",Ciguatoxin,6,1.0,0.0
9520,2005,June,Kansas,Restaurant,Chicken And Noodles; Pre-Packaged Salad,Norovirus genogroup I,12,0.0,0.0
9526,2005,June,Michigan,Private Home/Residence; Grocery Store; School/College/University,Unspecified Beverage,Norovirus unknown,31,0.0,0.0
9527,2005,June,Minnesota,Restaurant,Spinach Dip,Norovirus genogroup I,14,0.0,0.0
9528,2005,June,Minnesota,Catering Service,"Broccoli Salad; Cake, Unspecified",Norovirus genogroup I,8,0.0,0.0
9529,2005,June,Minnesota,Restaurant; Private Home/Residence,"Sandwich, Deli",Norovirus genogroup I,23,0.0,0.0
9531,2005,June,Minnesota,Restaurant; Private Home/Residence,"Sandwich, Pork; Cilantro, Unspecified",Salmonella enterica,5,4.0,0.0
9533,2005,June,Multistate,,"Deli Meat, Sliced Turkey",Listeria monocytogenes,13,13.0,1.0
9535,2005,June,New Hampshire,Private Home/Residence,"Sandwich, Pork",Staphylococcus aureus,23,0.0,0.0
9536,2005,June,New York,Catering Service,"Refried Beans, Unspecified",Clostridium perfringens,16,0.0,0.0
9542,2005,June,North Carolina,Restaurant,"Beef, Bbq; Pork, Bbq",Staphylococcus aureus,4,0.0,0.0
9545,2005,June,Ohio,Restaurant,"Fried Onions/Onion Rings, Unspecified",Norovirus genogroup I,4,0.0,0.0
9547,2005,June,Ohio,Private Home/Residence; Grocery Store,"Chicken, Bbq; Chicken, Baked",Salmonella enterica,13,2.0,0.0
9548,2005,June,Ohio,Restaurant,Sauces,Bacillus cereus,3,0.0,0.0
9549,2005,June,Ohio,,Chicken Salad,Salmonella enterica,12,2.0,0.0
9551,2005,June,Oregon,Private Home/Residence,Potato Salad,Norovirus genogroup I,15,1.0,0.0
9556,2005,June,Pennsylvania,Restaurant,"Sandwich, Chicken; Green Salad",Salmonella enterica,9,3.0,0.0
9559,2005,June,Texas,,"Queso Fresco, Unpasteurized",Listeria monocytogenes,12,12.0,0.0
9560,2005,June,Virginia,Religious Facility,"Sandwich, Beef",Salmonella enterica,40,1.0,0.0
9564,2005,June,Wisconsin,Private Home/Residence,Taco Dip,Norovirus genogroup I,22,0.0,0.0
9565,2005,June,Wisconsin,Private Home/Residence,Taco Dip,Norovirus genogroup I,22,0.0,0.0
9566,2005,June,Wyoming,Restaurant,"Eggs, Unspecified; Tomato, Unspecified",Salmonella enterica,20,4.0,0.0
9570,2005,July,California,Private Home/Residence,"Spice/Herb, Unspecified",Chemical or toxin,3,3.0,
9572,2005,July,California,Private Home/Residence,"Chicken, Unspecified",Salmonella enterica,6,1.0,0.0
9574,2005,July,California,Restaurant,"Sushi, Unspecified",Bacillus cereus; Clostridium perfringens,25,0.0,0.0
9576,2005,July,California,Restaurant,Chips And Salsa,Salmonella enterica,14,4.0,0.0
9577,2005,July,California,Catering Service,Multiple Foods,Bacillus cereus; Clostridium perfringens,114,0.0,0.0
9578,2005,July,California,Restaurant,"Cake, Tiramisu",Salmonella enterica,12,2.0,0.0
9580,2005,July,Colorado,Unknown,"Cantaloupe; Ground Beef, Unspecified",Salmonella enterica,24,7.0,1.0
9581,2005,July,Colorado,Catering Service,"Ground Beef, Hamburger; Sausage, Pork",Clostridium perfringens,6,0.0,0.0
9583,2005,July,Colorado,Restaurant,"Sushi, Unspecified",Salmonella enterica,25,0.0,0.0
9586,2005,July,Florida,Private Home/Residence,"Clams, Steamed",Neurotoxic shellfish poison,4,4.0,0.0
9590,2005,July,Florida,,"Sandwich, Turkey",Salmonella enterica,5,3.0,0.0
9593,2005,July,Florida,Restaurant,Multiple Foods,Norovirus genogroup I,33,0.0,0.0
9595,2005,July,Florida,Private Home/Residence,Sphyraena Barracuda,Ciguatoxin,6,4.0,0.0
9596,2005,July,Hawaii,Private Home/Residence,"Fish, Ulua, Unspecified",Ciguatoxin,2,0.0,0.0
9597,2005,July,Idaho,Camp,Watermelon,Norovirus genogroup I,18,0.0,0.0
9598,2005,July,Illinois,Catering Service,Fruit Salad,Norovirus genogroup I,14,0.0,0.0
9601,2005,July,Kansas,Catering Service,Potato Salad,Norovirus genogroup I,54,0.0,0.0
9607,2005,July,Minnesota,Restaurant,Tzatziki Sauce,Bacillus cereus,4,0.0,0.0
9609,2005,July,Multistate,Restaurant,"Tomato, Beefsteak",Salmonella enterica,72,8.0,0.0
9610,2005,July,Multistate,Restaurant; Private Home/Residence,"Mayonnaise, Homemade; Cake, Tiramisu; Eggs, Other; Crab Cakes",Salmonella enterica,23,5.0,0.0
9611,2005,July,New Hampshire,Camp,"Roast Beef, Other",Clostridium perfringens,66,0.0,0.0
9613,2005,July,New York,Private Home/Residence,Ice Tea,Heavy metals,6,0.0,0.0
9618,2005,July,New York,Restaurant; Private Home/Residence; Fair/Festival; Grocery Store; School/College/University,"Onion, Unspecified; Tomato, Unspecified",Salmonella enterica,27,2.0,0.0
9620,2005,July,New York,Private Home/Residence,"Ground Beef, Hamburger",Salmonella enterica,3,1.0,0.0
9622,2005,July,Ohio,Private Home/Residence,"Romaine Lettuce, Unspecified",Norovirus genogroup I,10,1.0,0.0
9628,2005,July,Oregon,Restaurant,Caesar Salad,Norovirus unknown,22,0.0,0.0
9629,2005,July,Oregon,Catering Service,"Chicken, Teriyaki",Clostridium perfringens,19,0.0,0.0
9630,2005,July,Pennsylvania,Catering Service,Pasta Salad,Clostridium perfringens; Bacillus cereus,22,0.0,0.0
9631,2005,July,South Carolina,Restaurant,"Chicken, Bbq",Clostridium perfringens,27,2.0,0.0
9632,2005,July,Tennessee,Restaurant; Catering Service,"Pork, Bbq",Staphylococcus aureus,50,0.0,0.0
9636,2005,July,Utah,,"Sandwich, Other",Norovirus genogroup II,15,0.0,0.0
9637,2005,July,Vermont,,"Turkey, Other",Salmonella enterica,8,2.0,0.0
9638,2005,July,Virginia,Restaurant,House Salad,Salmonella enterica,29,3.0,0.0
9639,2005,July,Virginia,Restaurant; Private Home/Residence; Catering Service,Chicken Biryani,Salmonella enterica,37,2.0,0.0
9642,2005,July,Washington,Unknown,"Oysters, Raw",Vibrio parahaemolyticus,4,0.0,0.0
9646,2005,July,Wisconsin,Prison/Jail,"Gravy, Sausage",Clostridium perfringens,24,0.0,0.0
9647,2005,July,Wisconsin,Catering Service,"Pork, Roasted",Norovirus genogroup I,25,2.0,0.0
9650,2005,July,Wyoming,Private Home/Residence,"Whole Milk, Unpasteurized",Campylobacter jejuni,11,2.0,0.0
9651,2005,August,Alaska,Private Home/Residence,"Salmon, Unspecified",Clostridium botulinum,4,2.0,0.0
9652,2005,August,Alaska,Private Home/Residence,Salmon Heads,Clostridium botulinum,4,2.0,0.0
9654,2005,August,California,,Oysters,Vibrio parahaemolyticus,14,0.0,0.0
9655,2005,August,California,Restaurant,Fish Salad,Scombroid toxin,3,0.0,0.0
9660,2005,August,California,,"Salad, Unspecified; Corn",Bacterium,4,0.0,0.0
9662,2005,August,California,Restaurant,"Salsa, Unspecified",Salmonella enterica,30,2.0,0.0
9663,2005,August,California,,Popcorn,Bacterium,3,0.0,0.0
9664,2005,August,California,Restaurant,Tuna Steak,Scombroid toxin,5,0.0,0.0
9665,2005,August,California,Private Home/Residence,Ceviche,Salmonella unknown,2,1.0,0.0
9666,2005,August,California,Restaurant,"Bbq, Unspecified",Bacillus cereus; Clostridium perfringens,8,0.0,0.0
9667,2005,August,California,Private Home/Residence,"Gelatin, Unspecified",Bacterium,8,0.0,0.0
9668,2005,August,Colorado,Restaurant,Shrimp Dishes Unspecified,Salmonella enterica,4,1.0,0.0
9669,2005,August,Colorado,Grocery Store,"Beef, Other",Clostridium perfringens,8,0.0,0.0
9671,2005,August,Colorado,Restaurant,"Pasta, Unspecified",Norovirus genogroup I,7,1.0,0.0
9675,2005,August,Florida,Restaurant,"Steak, Prime Rib",Clostridium perfringens,8,0.0,0.0
9677,2005,August,Florida,Private Home/Residence,"Pork, Bbq",Salmonella enterica,36,0.0,0.0
9679,2005,August,Georgia,,Strawberries,Norovirus genogroup I,40,0.0,0.0
9680,2005,August,Georgia,Private Home/Residence,"Ground Beef, Hamburger","Escherichia coli, Shiga toxin-producing",6,1.0,0.0
9681,2005,August,Georgia,Restaurant,"Sandwich, Other Egg/Poultry",Staphylococcus aureus,15,4.0,0.0
9682,2005,August,Hawaii,,"Fish, Mackeral",Staphylococcus aureus,2,0.0,0.0
9684,2005,August,Hawaii,,"Fish, Ahi",Scombroid toxin,2,0.0,0.0
9686,2005,August,Hawaii,Private Home/Residence,"Fish, Ulua",Ciguatoxin,2,0.0,0.0
9687,2005,August,Hawaii,Restaurant,"Fish, Ahi",Scombroid toxin,2,0.0,0.0
9702,2005,August,Michigan,Religious Facility,Taco Meat,Bacillus cereus,27,0.0,0.0
9703,2005,August,Minnesota,Catering Service,"Soda, Unspecified",Norovirus genogroup I,21,0.0,0.0
9704,2005,August,Minnesota,Private Home/Residence,Stuffed Chicken,Salmonella enterica,27,6.0,0.0
9707,2005,August,Multistate,Restaurant,"Oysters, Raw",Hepatitis A,39,3.0,0.0
9708,2005,August,New York,Restaurant,Rice And Peas,Bacillus cereus,16,0.0,0.0
9712,2005,August,New York,Restaurant,"Tuna, Unspecified",Scombroid toxin,2,0.0,0.0
9713,2005,August,New York,Camp,Unspecified Vegetables,Giardia intestinalis,50,0.0,0.0
9719,2005,August,Ohio,Restaurant,"Salad, Other",Clostridium perfringens,2,0.0,0.0
9721,2005,August,Ohio,Restaurant; Catering Service,Fruit Salad,"Escherichia coli, Shiga toxin-producing",18,6.0,1.0
9724,2005,August,Oregon,Restaurant,"Fish, Escolar",Scombroid toxin,3,0.0,0.0
9725,2005,August,Utah,Private Home/Residence,"Ice Cream, Homemade",Salmonella enterica,7,0.0,0.0
9729,2005,August,Washington,Restaurant,"Liver, Chicken",Campylobacter unknown,9,0.0,0.0
9732,2005,September,Arizona,,"Whole Milk, Unpasteurized",Campylobacter jejuni,13,1.0,0.0
9734,2005,September,California,Catering Service,"Sandwich, Roast Beef",Norovirus genogroup I,50,1.0,0.0
9735,2005,September,California,Restaurant; Private Home/Residence,Chicken Dishes,Shigella sonnei,100,2.0,0.0
9737,2005,September,California,Restaurant,"Fish, Escolar",Scombroid toxin,5,0.0,0.0
9739,2005,September,California,Restaurant,"Chicken, Strips",Chemical or toxin,2,0.0,0.0
9741,2005,September,California,Grocery Store,"Queso Fresco, Unpasteurized",Salmonella enterica,12,2.0,0.0
9742,2005,September,California,Unknown,"Queso Fresco, Unpasteurized",Salmonella enterica,3,0.0,0.0
9743,2005,September,California,,"Queso Fresco, Unpasteurized",Salmonella unknown,2,0.0,0.0
9744,2005,September,Colorado,Restaurant,Shrimp Dishes Unspecified,Norovirus genogroup I,4,0.0,0.0
9745,2005,September,Colorado,Catering Service,"Tomato, Unspecified",Norovirus genogroup I,17,0.0,0.0
9746,2005,September,Colorado,Prison/Jail,"Milk, 1% Milk Pasteurized",Campylobacter jejuni,200,1.0,0.0
9755,2005,September,Georgia,Private Home/Residence,"Taco Dip; Grapes, Unspecified",Norovirus genogroup I,22,0.0,0.0
9757,2005,September,Hawaii,Private Home/Residence,"Shrimp, Raw",Salmonella enterica,7,2.0,0.0
9758,2005,September,Hawaii,Private Home/Residence,"Fish, Palani (Surgeon)",Ciguatoxin,3,0.0,0.0
9759,2005,September,Hawaii,Restaurant,"Fish, Ahi",Scombroid toxin,2,1.0,0.0
9760,2005,September,Idaho,Restaurant,"Refried Beans, Unspecified",Norovirus genogroup I,17,0.0,0.0
9765,2005,September,Iowa,Restaurant,Cheese; Relish Tray,Norovirus genogroup I,27,0.0,0.0
9770,2005,September,Minnesota,Office/Indoor Workplace,"Salad Bar; Sandwich, Unspecified",Norovirus genogroup I,39,0.0,0.0
9771,2005,September,Multistate,,"Lettuce, Prepackaged","Escherichia coli, Shiga toxin-producing",34,12.0,
9773,2005,September,New York,Restaurant,"Oysters, Raw",Vibrio parahaemolyticus,2,0.0,0.0
9774,2005,September,New York,Grocery Store,"Sandwich, Deli",Salmonella enterica,25,1.0,0.0
9775,2005,September,North Carolina,Restaurant,"Chicken, Grilled",Salmonella enterica,83,2.0,0.0
9776,2005,September,North Carolina,Fair/Festival,"Pork, Bbq",Salmonella enterica,17,0.0,0.0
9777,2005,September,North Carolina,,"Squash, Unspecified",Norovirus unknown,15,0.0,0.0
9781,2005,September,Ohio,School/College/University,"Potato, Mashed",Chemical or toxin,5,0.0,0.0
9785,2005,September,Pennsylvania,Restaurant,"Beef, Unspecified",Clostridium perfringens,9,0.0,0.0
9787,2005,September,Republic of Palau,Private Home/Residence,"Fried Rice, Unspecified",Bacillus cereus,6,0.0,0.0
9790,2005,September,Utah,,"Whole Milk, Unpasteurized",Campylobacter jejuni,11,0.0,0.0
9792,2005,September,Washington,Restaurant,"Fried Rice, Unspecified",Bacillus cereus,2,0.0,0.0
9793,2005,September,Washington,Restaurant,"Parsley, Unspecified; House Salad","Escherichia coli, Shiga toxin-producing",4,2.0,0.0
9794,2005,September,Washington,Unknown,"Parsley, Unspecified; House Salad","Escherichia coli, Shiga toxin-producing",2,2.0,0.0
9796,2005,September,Wisconsin,Restaurant,"Gravy, Sausage",Salmonella enterica,6,2.0,0.0
9797,2005,September,Wisconsin,Restaurant,"Ham, Other",Staphylococcus aureus,9,0.0,0.0
9798,2005,October,California,Restaurant,"Shell Eggs, Scrambled Soft",Norovirus genogroup I,17,0.0,0.0
9801,2005,October,California,Grocery Store,"Meat, Unspecified; Beans, Unspecified",Chemical or toxin,5,0.0,0.0
9804,2005,October,California,Restaurant,"Eggs, Unspecified",Salmonella enterica,6,0.0,0.0
9806,2005,October,California,Restaurant,"Cake, Unspecified",Norovirus genogroup I,16,0.0,0.0
9807,2005,October,California,Restaurant,Unspecified Vegetables,Hepatitis A,16,2.0,0.0
9808,2005,October,California,Restaurant,"Burrito, Cheese",Norovirus genogroup I,22,0.0,0.0
9810,2005,October,California,Restaurant,"Grapes, Unspecified",Bacillus cereus; Clostridium perfringens; Bacterium,6,0.0,0.0
9811,2005,October,Connecticut,Private Home/Residence,Deli Tray,Norovirus genogroup I,25,1.0,0.0
9819,2005,October,Florida,Private Home/Residence,Macaroni Salad,Salmonella enterica,8,3.0,0.0
9820,2005,October,Georgia,Private Home/Residence; Religious Facility,"Turkey, Roasted; Stuffing/Gravy",Salmonella enterica,35,9.0,0.0
9822,2005,October,Georgia,Restaurant,"Hot Dog, Unspecified",Staphylococcus aureus,2,0.0,0.0
9824,2005,October,Hawaii,Restaurant,"Fish, Ahi",Scombroid toxin,2,0.0,0.0
9826,2005,October,Illinois,,"Pineapple, Unspecified",Mycotoxins,25,0.0,0.0
9827,2005,October,Illinois,Private Home/Residence; Catering Service,"Green Salad; Chicken, Other",Norovirus genogroup I,45,1.0,0.0
9829,2005,October,Illinois,,"Fruit Juice, Unspecified",Mycotoxins,21,1.0,0.0
9830,2005,October,Iowa,Catering Service,"Corn, Unspecified; Roast Beef, Unspecified",Bacillus cereus; Clostridium perfringens,41,0.0,0.0
9833,2005,October,Michigan,Restaurant,"Burrito, Beef",Clostridium perfringens; Bacillus cereus,9,0.0,0.0
9834,2005,October,Minnesota,Restaurant,"Fish, Escolar",Scombroid toxin,20,0.0,0.0
9836,2005,October,Multistate,,"Lettuce, Prepackaged; Grapes, Green","Escherichia coli, Shiga toxin-producing",12,4.0,0.0
9837,2005,October,New York,Private Home/Residence,"Ground Beef, Hamburger","Escherichia coli, Shiga toxin-producing",3,0.0,0.0
9838,2005,October,New York,Restaurant,"Roast Beef, Other",Bacillus cereus,3,0.0,0.0
9839,2005,October,New York,Private Home/Residence,Mushrooms,Mycotoxins,4,2.0,0.0
9841,2005,October,New York,Restaurant; Private Home/Residence; Grocery Store,"Chicken, Grilled",Listeria monocytogenes,3,3.0,0.0
9844,2005,October,North Carolina,Restaurant,"Cake, Cream Cheese; Cheese Bread",Salmonella enterica,14,1.0,0.0
9850,2005,October,Oregon,Restaurant,Guacamole,Norovirus unknown,13,0.0,0.0
9851,2005,October,Oregon,Restaurant,Other Food,"Escherichia coli, Shiga toxin-producing",64,1.0,0.0
9853,2005,October,Pennsylvania,Restaurant,"Tomato, Unspecified",Norovirus genogroup I,19,0.0,0.0
9854,2005,October,Pennsylvania,Restaurant,"Beef, Unspecified",Salmonella enterica,11,0.0,0.0
9861,2005,October,Washington,Restaurant,Caesar Salad,"Escherichia coli, Shiga toxin-producing",9,1.0,0.0
9862,2005,October,Washington,,"Oysters, Raw",Norovirus genogroup I,49,0.0,0.0
9863,2005,October,Washington,Restaurant,"Sauces, Unspecified",Staphylococcus aureus,2,0.0,0.0
9865,2005,October,Wisconsin,Religious Facility,"Liver, Chicken",Campylobacter jejuni,13,2.0,0.0
9867,2005,November,California,Restaurant,"Salad, Other",Norovirus genogroup I,5,0.0,0.0
9869,2005,November,California,Private Home/Residence,"Salmon, Unspecified",Clostridium botulinum,2,2.0,1.0
9870,2005,November,California,Private Home/Residence,"Turkey, Unspecified",Salmonella enterica,6,0.0,0.0
9871,2005,November,California,Restaurant,Unspecified Vegetables,Hepatitis A,5,0.0,0.0
9872,2005,November,California,,"Queso Fresco, Unpasteurized",Shigella unknown,2,0.0,0.0
9873,2005,November,Colorado,,"Whole Milk, Unpasteurized",Campylobacter jejuni,5,0.0,0.0
9874,2005,November,Colorado,Restaurant,"Sandwich, Deli",Shigella boydii,2,0.0,0.0
9875,2005,November,Connecticut,Office/Indoor Workplace,"Potato Chips; Cookies, Unspecified",Norovirus unknown,11,0.0,0.0
9880,2005,November,Florida,Catering Service,"Chicken, Other",Clostridium perfringens,338,0.0,0.0
9883,2005,November,Florida,Restaurant; Private Home/Residence,"Fish, Swordfish; Fish, Tuna; Seabass, Unspecified",Heavy metals,2,0.0,0.0
9888,2005,November,Hawaii,,Spam,Staphylococcus aureus,7,0.0,0.0
9894,2005,November,Iowa,Catering Service,"Sandwich, Red Meat-Based",Clostridium perfringens,56,0.0,0.0
9895,2005,November,Iowa,Restaurant,"Taco, Chicken",Clostridium perfringens,11,0.0,0.0
9898,2005,November,Massachusetts,Restaurant; Private Home/Residence,Mung Bean Sprouts,Salmonella enterica,2,0.0,0.0
9901,2005,November,Michigan,Religious Facility,"Sandwich, Other; Vanilla Cake",Salmonella enterica,75,5.0,0.0
9902,2005,November,Minnesota,Private Home/Residence,"Ham, Unspecified",Norovirus genogroup I,6,0.0,0.0
9903,2005,November,Multistate,Private Home/Residence,"Whole Milk, Unpasteurized","Escherichia coli, Shiga toxin-producing",18,5.0,0.0
9904,2005,November,Multistate,Private Home/Residence,Stuffed Chicken,Salmonella enterica; Salmonella enterica; Salmonella enterica,44,2.0,0.0
9905,2005,November,Multistate,Restaurant,Roma Tomato,Salmonella enterica,84,8.0,0.0
9908,2005,November,New York,,Yellowfin Tuna,Scombroid toxin,2,0.0,0.0
9909,2005,November,New York,Restaurant,"Pizza, Cheese; Potato Chips; Ice Cream, Commercial",Norovirus genogroup I,18,0.0,0.0
9914,2005,November,Ohio,School/College/University,"Lettuce, Unspecified",Norovirus genogroup I,14,0.0,0.0
9915,2005,November,Ohio,School/College/University,Turkey Dishes,Clostridium perfringens,21,0.0,0.0
9920,2005,November,Oregon,Private Home/Residence,"Punch, Unspecified",Norovirus unknown,12,0.0,0.0
9923,2005,November,Virginia,Restaurant; Office/Indoor Workplace,"Sandwich, Chicken",Staphylococcus aureus,6,2.0,
9925,2005,November,Wisconsin,Restaurant,Breads,Norovirus genogroup I,13,0.0,0.0
9927,2005,December,California,Restaurant,"Turkey, Unspecified",Clostridium perfringens; Bacillus cereus,26,1.0,1.0
9928,2005,December,California,Restaurant,"Sandwich, Unspecified",Norovirus genogroup I,25,0.0,0.0
9929,2005,December,California,Restaurant,"Soup, Clam Chowder",Norovirus genogroup I,4,0.0,0.0
9931,2005,December,California,Restaurant; Banquet Facility,Multiple Foods,Norovirus genogroup I,90,0.0,0.0
9932,2005,December,California,Restaurant,"Soup, Broccoli",Chemical or toxin,4,0.0,0.0
9933,2005,December,California,Restaurant,"Chicken, Other",Clostridium perfringens; Bacillus cereus,5,0.0,0.0
9934,2005,December,California,Restaurant,"Salad, Other",Norovirus genogroup I,2,0.0,0.0
9936,2005,December,California,Catering Service,"Chicken, Other",Salmonella other,12,1.0,0.0
9937,2005,December,California,Restaurant; Private Home/Residence,Chips And Salsa,Norovirus genogroup I,19,1.0,0.0
9938,2005,December,Colorado,Restaurant,"Pork, Other",Clostridium perfringens,5,0.0,0.0
9940,2005,December,Colorado,,"Whole Milk, Unpasteurized",Campylobacter jejuni,22,0.0,0.0
9942,2005,December,Connecticut,Banquet Facility,"Steak, Prime Rib",Norovirus genogroup II,23,1.0,0.0
9945,2005,December,Florida,Restaurant,"Chicken, Other",Norovirus genogroup I,7,0.0,0.0
9949,2005,December,Georgia,Restaurant,Hollandaise Sauce,Salmonella enterica,34,7.0,0.0
9950,2005,December,Georgia,Restaurant,Creme-Filled Doughnut,Chemical or toxin,2,0.0,0.0
9951,2005,December,Georgia,Restaurant,"Sandwich, Tuna Fish",Norovirus unknown,4,0.0,0.0
9953,2005,December,Georgia,Restaurant,"Sandwich, Pork",Norovirus genogroup I,4,0.0,0.0
9966,2005,December,Kansas,Private Home/Residence,"Sausage, Unspecified",Staphylococcus aureus,138,19.0,0.0
9975,2005,December,Minnesota,Restaurant,"Taco, Beef",Norovirus unknown,4,0.0,0.0
9981,2005,December,New York,Restaurant,Taro,Chemical or toxin,2,0.0,0.0
9989,2005,December,Ohio,Restaurant,"Pork, Roasted",Norovirus genogroup I,26,0.0,0.0
9997,2005,December,Virginia,Private Home/Residence,"Pork, Roasted",Staphylococcus aureus,21,0.0,0.0
10002,2005,December,West Virginia,Prison/Jail,"Sweet Potato, Unspecified; Stuffing, Unspecified; Turkey And Gravy; Turkey, Roasted; Green Beans, Unspecified",Staphylococcus aureus,23,0.0,0.0
10007,2006,January,California,Prison/Jail,Miscellaneous,Clostridium perfringens,59,0.0,0.0
